,0
0,259
1,58
2,98
3,182
4,132
5,236
6,180
7,310
8,200
9,355
10,158
11,240
12,319
13,105
14,164
15,79
16,185
17,71
18,197
19,486
20,111
21,313
22,136
23,172
24,302
25,98
26,353
27,240
28,491
29,214
30,170
31,180
32,81
33,96
34,367
35,177
36,87
37,282
38,455
39,91
40,279
41,178
42,199
43,74
44,209
45,114
46,348
47,363
48,118
49,356
50,43
51,117
52,37
53,55
54,289
55,38
56,148
57,479
58,110
59,94
60,147
61,151
62,140
63,82
64,140
65,125
66,217
67,167
68,203
69,136
70,145
71,276
72,270
73,226
74,244
75,295
76,285
77,38
78,627
79,79
80,342
81,118
82,85
83,44
84,237
85,226
86,106
87,149
88,109
89,149
90,255
91,125
92,422
93,46
94,102
95,76
96,299
97,91
98,134
99,130
100,261
101,200
102,383
103,145
104,119
105,126
106,119
107,619
108,351
109,208
110,43
111,323
112,104
113,416
114,207
115,315
116,183
117,176
118,277
119,169
120,189
121,69
122,170
123,118
124,408
125,126
126,148
127,250
128,384
129,62
130,123
131,76
132,64
133,57
134,180
135,260
136,52
137,113
138,43
139,223
140,166
141,230
142,19
143,18
144,74
145,173
146,93
147,166
148,78
149,28
150,182
151,269
152,36
153,104
154,184
155,393
156,106
157,85
158,138
159,77
160,49
161,174
162,82
163,22
164,224
165,192
166,181
167,273
168,43
169,79
170,60
171,24
172,96
173,142
174,98
175,143
176,55
177,74
178,168
179,73
180,164
181,156
182,197
183,140
184,43
185,112
186,43
187,306
188,51
189,161
190,65
191,85
192,160
193,143
194,208
195,227
196,75
197,129
198,273
199,56
200,71
201,236
202,95
203,76
204,52
205,106
206,156
207,37
208,63
209,121
210,116
211,41
212,165
213,45
214,97
215,79
216,63
217,51
218,249
219,50
220,41
221,97
222,514
223,160
224,83
225,71
226,53
227,50
228,51
229,146
230,57
231,47
232,128
233,169
234,95
235,77
236,107
237,33
238,218
239,72
240,128
241,98
242,39
243,124
244,166
245,50
246,218
247,140
248,32
249,78
250,251
251,147
252,185
253,45
254,45
255,47
256,139
257,48
258,47
259,50
260,47
261,65
262,232
263,48
264,244
265,58
266,83
267,22
268,131
269,57
270,149
271,84
272,132
273,117
274,70
275,190
276,93
277,238
278,73
279,116
280,48
281,26
282,202
283,107
284,82
285,50
286,236
287,73
288,47
289,99
290,49
291,59
292,47
293,46
294,43
295,49
296,33
297,84
298,155
299,32
300,60
301,108
302,138
303,102
304,54
305,44
306,119
307,91
308,26
309,73
310,32
311,188
312,149
313,63
314,34
315,37
316,96
317,165
318,50
319,248
320,141
321,106
322,106
323,143
324,71
325,47
326,60
327,112
328,80
329,84
330,72
331,86
332,49
333,33
334,109
335,65
336,72
337,94
338,33
339,84
340,75
341,154
342,84
343,96
344,51
345,83
346,83
347,70
348,96
349,74
350,37
351,33
352,53
353,28
354,99
355,44
356,77
357,26
358,24
359,56
360,87
361,122
362,76
363,38
364,46
365,33
366,54
367,29
368,83
369,226
370,100
371,86
372,125
373,71
374,35
375,59
376,42
377,39
378,203
379,34
380,69
381,53
382,111
383,69
384,46
385,28
386,77
387,142
388,45
389,94
390,53
391,58
392,75
393,28
394,42
395,26
396,68
397,45
398,166
399,115
400,87
401,46
402,98
403,45
404,41
405,156
406,69
407,134
408,89
409,61
410,49
411,141
412,67
413,83
414,40
415,25
416,36
417,50
418,55
419,39
420,45
421,65
422,57
423,95
424,114
425,46
426,81
427,41
428,47
429,45
430,43
431,63
432,17
433,40
434,60
435,108
436,79
437,91
438,105
439,47
440,102
441,23
442,43
443,67
444,49
445,70
446,117
447,65
448,86
449,164
450,81
451,169
452,54
453,165
454,60
455,55
456,61
457,46
458,42
459,56
460,121
461,81
462,42
463,78
464,130
465,53
466,92
467,167
468,54
469,52
470,76
471,62
472,65
473,92
474,34
475,143
476,59
477,48
478,47
479,86
480,60
481,79
482,36
483,45
484,42
485,59
486,81
487,77
488,53
489,63
490,30
491,55
492,50
493,32
494,88
495,42
496,46
497,61
498,26
499,64
500,84
501,108
502,102
503,144
504,38
505,76
506,44
507,39
508,119
509,38
510,60
511,65
512,34
513,59
514,38
515,100
516,31
517,143
518,65
519,67
520,79
521,121
522,49
523,74
524,137
525,100
526,32
527,67
528,75
529,59
530,37
531,110
532,58
533,25
534,69
535,104
536,42
537,33
538,25
539,20
540,47
541,172
542,65
543,28
544,50
545,41
546,68
547,47
548,40
549,43
550,46
551,59
552,76
553,109
554,61
555,54
556,70
557,66
558,56
559,123
560,146
561,32
562,68
563,53
564,58
565,88
566,110
567,60
568,38
569,42
570,65
571,45
572,38
573,57
574,123
575,132
576,27
577,42
578,39
579,76
580,32
581,64
582,42
583,53
584,70
585,54
586,49
587,60
588,139
589,50
590,98
591,67
592,104
593,68
594,113
595,39
596,37
597,71
598,58
599,27
600,29
601,31
602,59
603,90
604,67
605,81
606,25
607,57
608,78
609,57
610,42
611,75
612,29
613,51
614,83
615,18
616,138
617,38
618,31
619,87
620,60
621,36
622,53
623,57
624,34
625,90
626,39
627,69
628,76
629,49
630,48
631,142
632,93
633,48
634,72
635,70
636,38
637,81
638,33
639,72
640,43
641,55
642,37
643,61
644,44
645,57
646,29
647,47
648,60
649,64
650,85
651,32
652,77
653,28
654,42
655,55
656,110
657,54
658,52
659,89
660,27
661,38
662,72
663,35
664,40
665,97
666,37
667,62
668,59
669,83
670,118
671,39
672,41
673,43
674,66
675,85
676,32
677,76
678,57
679,52
680,59
681,40
682,40
683,58
684,58
685,54
