,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
".x4y23|-5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,-2",-15.217031,-17.458134171671,-14.685590000000001,-14.685590000000001,-14.685590000000001,-15.217031,-17.17570463519,-16.8618940391,-17.17570463519
".x4y23|-5,-1",-13.439,-14.685590000000001,-16.513215599,-14.685590000000001,-14.0951,-7.7123207545039,-13.439,-12.71,-17.17570463519
".x4y23|-5,0",-14.685590000000001,-8.14697981114816,-15.217031,-14.0951,-8.14697981114816,-18.14697981114816,-17.17570463519,-8.49905364703001,-13.439
".x4y23|-5,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,-1",-14.685590000000001,-13.439,-8.14697981114816,-14.0951,-14.0951,-15.6953279,-15.217031,-13.439,-14.0951
".x4y23|-4,0",-13.439,-8.332281830033345,-16.12579511,-14.685590000000001,-8.49905364703001,-14.0951,-15.217031,-8.49905364703001,-16.513215599
".x4y23|-4,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,-1",-14.685590000000001,-17.17570463519,-16.12579511,-16.513215599,-15.217031,-15.217031,-15.217031,-17.17570463519,-6.5132155990000005
".x4y23|-3,0",-17.17570463519,-8.49905364703001,-15.217031,-13.439,-8.332281830033345,-17.7123207545039,-15.6953279,-8.14697981114816,-14.685590000000001
".x4y23|-3,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,-1",-16.8618940391,-14.685590000000001,-14.685590000000001,-17.94108867905351,-14.0951,-17.17570463519,-14.0951,-17.458134171671,-14.685590000000001
".x4y23|-2,0",-16.8618940391,-8.14697981114816,-14.685590000000001,-15.6953279,-8.14697981114816,-15.217031,-8.150247729086074,-7.94108867905351,-14.685590000000001
".x4y23|-2,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,0",-17.17570463519,-7.7123207545039,-16.12579511,-8.14697981114816,-7.7123207545039,-16.513215599,-7.794625063687529,-7.94108867905351,-15.6953279
".x4y23|-1,1",-8.14697981114816,-16.513215599,-16.12579511,-16.12579511,-16.8618940391,-17.7123207545039,-17.7123207545039,-15.6953279,-17.151773930999106
".x4y23|-1,2",-14.685590000000001,-15.217031,-13.439,-14.685590000000001,-14.0951,-14.0951,-14.0951,-13.439,-14.685590000000001
".x4y23|-1,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|0,-5",-17.458134171671,-17.7123207545039,-16.250933574401255,-6.861894039100001,-7.175704635190001,-6.861894039100001,-7.175704635190001,-7.175704635190001,-7.7123207545039
".x4y23|0,-4",-14.685590000000001,-16.12579511,-7.175704635190001,-6.5132155990000005,-6.861894039100001,-6.861894039100001,-7.175704635190001,-7.458134171671,-7.175704635190001
".x4y23|0,-3",-16.513215599,-7.175704635190001,-12.507031000000001,-6.861894039100001,-6.861894039100001,-6.861894039100001,-7.458134171671,-6.861894039100001,-2.71
".x4y23|0,-2",-7.175704635190001,-7.175704635190001,-7.458134171671,-7.175704635190001,-7.175704635190001,-7.175704635190001,-7.458134171671,-7.458134171671,-7.458134171671
".x4y23|0,-1",-8.905810108684877,-8.14697981114816,-7.7123207545039,-7.7123207545039,-7.7123207545039,-4.68559,-7.7123207545039,-13.317031000000002,-5.217031
".x4y23|0,0",-7.94108867905351,-7.94108867905351,-16.12579511,-5.217031,-7.94108867905351,-17.17570463519,-7.94108867905351,-7.94108867905351,-17.458134171671
