,0
0,4758
1,13734
2,2146
3,470
4,2434
5,5599
6,2023
7,9840
8,3787
9,2067
10,3211
11,694
12,850
13,2743
14,3795
15,1838
16,909
17,664
18,1452
19,364
20,350
21,1178
22,1098
23,654
24,130
25,3671
26,5307
27,6650
28,464
29,8606
30,8805
31,1325
32,1248
33,6015
34,517
35,2447
36,1018
37,3247
38,566
39,288
40,1226
41,5758
42,3959
43,1427
44,1220
45,882
46,4043
47,803
48,1215
49,1325
50,259
51,867
52,1605
53,2379
54,533
55,1961
56,985
57,2528
58,269
59,2270
60,1581
61,271
62,939
63,3280
64,1021
65,673
66,501
67,732
68,623
69,913
70,1237
71,1770
72,422
73,4843
74,1085
75,1998
76,691
77,2532
78,2792
79,297
80,1575
81,5266
82,5108
83,517
84,1148
85,2118
86,725
87,496
88,232
89,1142
90,665
91,948
92,1127
93,5347
94,4738
95,3552
96,1672
97,376
98,786
99,535
100,250
101,717
102,1643
103,135
104,213
105,188
106,579
107,90
108,1090
109,1149
110,2305
111,2037
112,273
113,566
114,2930
115,1162
116,570
117,3573
118,2124
119,499
120,616
121,397
122,424
123,231
124,424
125,1085
126,903
127,163
128,2869
129,601
130,304
131,1480
132,309
133,456
134,396
135,92
136,143
137,1637
138,385
139,674
140,409
141,689
142,176
143,560
144,99
145,367
146,368
147,290
148,458
149,816
150,116
151,581
152,631
153,620
154,526
155,912
156,378
157,491
158,445
159,862
160,719
161,1526
162,348
163,465
164,820
165,472
166,436
167,126
168,476
169,558
170,619
171,176
172,402
173,210
174,195
175,195
176,335
177,1799
178,834
179,211
180,1488
181,848
182,502
183,1004
184,1384
185,552
186,362
187,349
188,491
189,452
190,132
191,481
192,855
193,850
194,465
195,397
196,98
197,832
198,115
199,1250
200,277
201,1048
202,287
203,403
204,253
205,378
206,134
207,983
208,150
209,173
210,788
211,1166
212,705
213,351
214,440
215,82
216,557
217,424
218,214
219,987
220,216
221,604
222,391
223,1592
224,1653
225,134
226,339
227,136
228,890
229,120
230,364
231,719
232,232
233,640
234,474
235,492
236,1668
237,382
238,661
239,223
240,917
241,236
242,702
243,124
244,559
245,426
246,548
247,228
248,408
249,95
250,238
251,99
252,158
253,201
254,495
255,138
256,281
257,209
258,81
259,121
260,112
261,157
262,2126
263,1122
264,519
265,380
266,228
267,175
268,648
269,205
270,551
271,183
272,2010
273,107
274,109
275,524
276,626
277,305
278,652
279,1383
280,182
281,735
282,759
283,408
284,73
285,390
286,867
287,450
288,725
289,236
290,172
291,240
292,145
293,210
294,1224
295,962
296,79
297,281
298,184
299,620
300,208
301,62
302,309
303,639
304,2365
305,2081
306,269
307,128
308,208
309,193
310,61
311,950
312,109
313,225
314,239
315,612
316,405
317,890
318,163
319,290
320,483
321,106
322,469
323,512
324,321
325,109
326,133
327,870
328,453
329,99
330,133
331,206
332,847
333,730
334,234
335,114
336,1292
337,228
338,209
339,497
340,277
341,192
342,755
343,102
344,65
345,586
346,675
347,161
348,152
349,154
350,266
351,262
352,407
353,74
354,100
355,293
356,148
357,221
358,177
359,178
360,156
361,97
362,156
363,439
364,772
365,586
366,275
367,222
368,211
369,233
370,271
371,437
372,147
373,215
374,327
375,203
376,219
377,233
378,540
379,435
380,263
381,157
382,440
383,106
384,447
385,266
386,529
387,592
388,104
389,118
390,189
391,76
392,78
393,313
394,228
395,95
396,74
397,160
398,243
399,183
400,353
401,229
402,116
403,229
404,152
405,296
406,179
407,149
408,98
409,375
410,384
411,213
412,296
413,175
414,88
415,474
416,209
417,159
418,261
419,233
420,122
421,542
422,274
423,378
424,184
425,287
426,421
427,143
428,93
429,237
430,121
431,74
432,114
433,185
434,129
435,381
436,241
437,214
438,332
439,240
440,222
441,129
442,180
443,233
444,487
445,71
446,80
447,117
448,94
449,86
450,381
451,259
452,60
453,231
454,101
455,775
456,505
457,318
458,315
459,162
460,302
461,160
462,451
463,368
464,195
465,218
466,475
467,129
468,850
469,258
470,504
471,531
472,364
473,470
474,546
475,78
476,322
477,560
478,163
479,170
480,73
481,306
482,220
483,127
484,710
485,305
486,215
487,56
488,409
489,202
490,205
491,617
492,98
493,145
494,95
495,195
496,101
497,125
498,576
499,140
500,195
501,110
502,668
503,287
504,844
505,694
506,505
507,79
508,284
509,217
510,385
511,150
512,104
513,659
514,127
515,271
516,397
517,351
518,369
519,300
520,194
521,193
522,1032
523,779
524,330
525,120
526,289
527,342
528,1064
529,85
530,178
531,591
532,217
533,236
534,366
535,436
536,113
537,213
538,459
539,141
540,91
541,122
542,188
543,974
544,140
545,440
546,200
547,797
548,243
549,256
550,503
551,92
552,126
553,188
554,279
555,112
556,345
557,71
558,300
559,138
560,170
561,298
562,90
563,473
564,383
565,134
566,44
567,195
568,204
569,230
570,119
571,529
572,135
573,639
574,115
575,72
576,97
577,316
578,279
579,205
580,225
581,111
582,61
583,335
584,320
585,246
586,74
587,229
588,317
589,174
590,242
591,112
592,113
593,43
594,307
595,220
596,301
597,214
598,282
599,95
600,70
601,818
602,322
603,235
604,163
605,531
606,686
607,76
608,682
609,316
610,105
611,694
612,263
613,506
614,456
615,621
616,296
617,983
618,124
619,101
620,303
621,170
622,452
623,90
624,197
625,207
626,218
627,96
628,239
629,417
630,668
631,245
632,65
633,128
634,317
635,313
636,143
637,102
638,115
639,209
640,246
641,599
642,117
643,296
644,170
645,79
646,244
647,104
648,130
649,152
650,144
651,259
652,166
653,632
654,57
655,59
656,285
657,64
658,144
659,129
660,301
661,101
662,91
663,68
664,237
665,73
666,330
667,45
668,108
669,221
670,162
671,218
672,250
673,248
674,573
675,292
676,522
677,775
678,72
679,496
680,36
681,556
682,84
683,195
684,96
685,42
686,62
687,919
688,160
689,181
690,177
691,203
692,127
693,182
694,490
695,130
696,55
697,69
698,71
699,171
700,74
701,193
702,87
703,236
704,38
705,1716
706,1183
707,235
708,117
709,227
710,116
711,96
712,352
713,316
714,628
715,161
716,270
717,93
718,96
719,345
720,176
721,122
722,219
723,384
724,295
725,707
726,77
727,227
728,88
729,889
730,95
731,179
732,76
733,190
734,65
735,156
736,256
737,181
738,261
739,54
740,413
741,133
742,158
743,273
744,89
745,173
746,180
747,338
748,170
749,626
750,47
751,157
752,145
753,184
754,178
755,363
756,136
757,409
758,154
759,145
760,127
761,82
762,61
763,48
764,318
765,437
766,73
767,217
768,220
769,175
770,251
771,72
772,55
773,165
774,373
775,343
776,56
777,222
778,39
779,105
780,96
781,34
782,121
783,232
