,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
".x9y26|-5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,-2",0.0,0.0,-13.439,0.0,-12.71,0.0,0.0,0.0,0.0
".x9y26|-5,-1",0.0,-14.0951,0.0,0.0,0.0,0.0,-14.685590000000001,0.0,-12.71
".x9y26|-5,0",-12.71,0.0,-15.6953279,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-2",0.0,-13.439,-12.959731497032957,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-1",-13.439,-13.439,-12.71,-12.71,-14.0951,-1.0,-13.439,-12.71,-14.0951
".x9y26|-4,0",-14.0951,-1.0,-14.685590000000001,-15.217031,-1.0,-1.0,-12.71,-1.9,-1.0
".x9y26|-4,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
