,0
0,723
1,1132
2,1317
3,2061
4,3604
5,401
6,1074
7,2716
8,537
9,448
10,1163
11,1128
12,2841
13,2180
14,1116
15,337
16,852
17,2020
18,1056
19,271
20,2728
21,1508
22,2871
23,2619
24,1019
25,1087
26,1358
27,1011
28,1608
29,3099
30,2626
31,1801
32,779
33,733
34,447
35,1225
36,594
37,366
38,483
39,211
40,884
41,714
42,2634
43,255
44,269
45,926
46,3125
47,1703
48,322
49,1374
50,790
51,1139
52,2014
53,998
54,1213
55,2116
56,1489
57,2131
58,417
59,462
60,1047
61,616
62,870
63,1294
64,1631
65,376
66,823
67,672
68,659
69,2765
70,4290
71,504
72,3284
73,641
74,944
75,1632
76,603
77,2701
78,1320
79,600
80,2881
81,908
82,416
83,2349
84,5310
85,829
86,2142
87,237
88,3412
89,4771
90,1439
91,3091
92,2281
93,1296
94,149
95,2730
96,627
97,339
98,638
99,799
100,968
101,4743
102,2659
103,589
104,3737
105,215
106,705
107,303
108,186
109,1006
110,158
111,1697
112,954
113,2240
114,3307
115,664
116,532
117,2093
118,1583
119,1261
120,758
121,268
122,427
123,260
124,714
125,702
126,590
127,1078
128,647
129,247
130,290
131,562
132,1416
133,1039
134,395
135,153
136,1035
137,377
138,1787
139,375
140,225
141,1160
142,626
143,472
144,926
145,317
146,365
147,615
148,586
149,1742
150,2638
151,435
152,211
153,606
154,504
155,434
156,698
157,1183
158,1936
159,784
160,419
161,1696
162,459
163,303
164,342
165,216
166,315
167,1483
168,363
169,91
170,604
171,3282
172,319
173,405
174,536
175,925
176,374
177,304
178,1096
179,164
180,314
181,231
182,822
183,992
184,272
185,420
186,670
187,229
188,892
189,743
190,679
191,700
192,195
193,135
194,964
195,367
196,582
197,235
198,346
199,162
200,683
201,103
202,291
203,1445
204,633
205,542
206,224
207,449
208,621
209,290
210,732
211,961
212,163
213,1102
214,520
215,328
216,541
217,687
218,197
219,272
220,892
221,1316
222,591
223,191
224,308
225,686
226,818
227,913
228,425
229,167
230,171
231,667
232,1308
233,222
234,405
235,212
236,304
237,1786
238,171
239,438
240,485
241,244
242,657
243,110
244,198
245,915
246,600
247,645
248,343
249,474
250,1058
251,159
252,437
253,337
254,555
255,561
256,1047
257,109
258,499
259,162
260,236
261,151
262,175
263,647
264,166
265,1172
266,531
267,510
268,890
269,458
270,343
271,963
272,461
273,739
274,252
275,441
276,1500
277,607
278,452
279,414
280,278
281,135
282,124
283,437
284,358
285,791
286,552
287,792
288,1404
289,391
290,167
291,138
292,955
293,260
294,161
295,764
296,434
297,527
298,283
299,654
300,242
301,552
302,943
303,243
304,979
305,581
306,446
307,246
308,1211
309,604
310,1316
311,703
312,887
313,436
314,664
315,610
316,102
317,551
318,551
319,1544
320,318
321,591
322,157
323,314
324,450
325,197
326,848
327,245
328,277
329,445
330,219
331,377
332,212
333,1032
334,1329
335,240
336,794
337,1237
338,841
339,502
340,538
341,232
342,517
343,634
344,354
345,161
346,505
347,775
348,347
349,1026
350,488
351,592
352,587
353,212
354,696
355,318
356,536
357,173
358,160
359,419
360,289
361,730
362,868
363,559
364,208
365,213
366,983
367,360
368,176
369,358
370,167
371,304
372,664
373,276
374,398
375,95
376,116
377,282
378,250
379,225
380,138
381,657
382,253
383,172
384,203
385,673
386,620
387,251
388,330
389,1047
390,203
391,91
392,117
393,1599
394,344
395,365
396,596
397,440
398,133
399,482
400,522
401,632
402,409
403,329
404,1047
405,363
406,386
407,392
408,290
409,185
410,255
411,811
412,232
413,134
414,265
415,393
416,152
417,80
418,350
419,186
420,247
421,101
422,120
423,259
424,725
425,123
426,396
427,435
428,205
429,241
430,616
431,174
432,249
433,293
434,354
435,585
436,242
437,141
438,685
439,161
440,242
441,1129
442,523
443,972
444,196
445,308
446,147
447,155
448,353
449,114
450,232
451,717
452,77
453,1058
454,358
455,109
456,212
457,220
458,301
459,134
460,257
461,453
462,360
463,313
464,466
465,319
466,443
467,293
468,1458
469,1032
470,186
471,737
472,244
473,175
474,631
475,127
476,89
477,500
478,316
479,373
480,105
481,518
482,538
483,218
484,581
485,416
486,319
487,765
488,296
489,123
490,363
491,222
492,441
493,719
494,154
495,388
496,363
497,221
498,498
499,389
500,222
501,226
502,211
503,691
504,237
505,271
506,758
507,432
508,388
509,289
510,254
511,652
512,257
513,488
514,129
515,313
516,518
517,459
518,279
519,127
520,1619
521,180
522,653
523,500
524,300
525,258
526,248
527,721
528,219
529,696
530,292
531,254
532,140
533,1103
534,1208
535,342
536,831
537,633
538,646
539,913
540,335
541,189
542,231
543,151
544,198
545,384
546,411
547,525
548,334
549,217
550,215
551,284
552,266
553,116
554,450
555,497
556,203
557,101
558,950
559,513
560,179
561,212
562,105
563,476
564,411
565,645
566,295
567,689
568,376
569,369
570,557
571,211
572,693
573,209
574,296
575,1489
576,269
577,220
578,346
579,588
580,101
581,244
582,449
583,344
584,198
585,219
586,907
587,126
588,236
589,284
590,154
591,173
592,166
593,785
594,275
595,833
596,229
597,630
598,259
599,316
600,291
601,139
602,158
603,466
604,730
605,482
606,203
607,192
608,298
609,102
610,727
611,179
612,683
613,163
614,299
615,251
616,243
617,458
618,120
619,389
620,537
621,144
622,151
623,348
624,519
625,236
626,137
627,218
628,444
629,1275
630,120
631,1186
632,122
633,129
634,142
635,985
636,359
637,183
638,117
639,254
640,303
641,332
642,338
643,176
644,111
645,192
646,252
647,259
648,113
649,359
650,91
651,188
652,366
653,310
654,725
655,246
656,339
657,683
658,399
659,732
660,394
661,185
662,135
663,587
664,329
665,135
666,170
667,104
668,262
669,291
670,500
671,180
672,151
673,179
674,310
675,712
676,126
677,238
678,259
679,201
680,709
681,900
682,324
683,301
684,461
685,453
686,212
687,473
688,533
689,733
690,136
691,200
692,293
693,246
694,287
695,121
696,249
697,163
698,217
699,255
700,160
701,448
702,499
703,438
704,176
705,124
706,204
707,204
708,279
709,288
710,265
711,181
712,582
713,199
714,566
