,0
0,319
1,1151
2,19879
3,4923
4,6046
5,11473
6,4818
7,4310
8,1659
9,1742
10,7520
11,1162
12,1460
13,893
14,18478
15,4416
16,1731
17,4822
18,2379
19,1683
20,555
21,483
22,865
23,4877
24,5573
25,794
26,2282
27,828
28,6132
29,5722
30,2209
31,2802
32,5066
33,3224
34,1254
35,437
36,2971
37,659
38,914
39,511
40,315
41,4086
42,280
43,3619
44,2390
45,324
46,628
47,330
48,979
49,1418
50,885
51,1137
52,5170
53,1519
54,4605
55,1942
56,2296
57,1715
58,2948
59,2744
60,5798
61,95
62,1670
63,11963
64,779
65,3751
66,888
67,652
68,468
69,2684
70,3867
71,4467
72,7468
73,2690
74,1137
75,1653
76,1131
77,133
78,5031
79,2247
80,2225
81,435
82,420
83,685
84,989
85,965
86,3394
87,4038
88,1074
89,1103
90,1264
91,543
92,2029
93,2665
94,1692
95,4519
96,677
97,794
98,1890
99,5743
100,969
101,5259
102,3780
103,1035
104,2905
105,821
106,974
107,1297
108,425
109,751
110,1238
111,252
112,604
113,1004
114,674
115,553
116,216
117,332
118,413
119,491
120,886
121,1173
122,927
123,4020
124,3991
125,629
126,174
127,3157
128,2493
129,777
130,321
131,120
132,1688
133,4018
134,3709
135,2969
136,7669
137,306
138,1498
139,544
140,128
141,2632
142,2648
143,4687
144,2124
145,111
146,1193
147,3489
148,282
149,3889
150,1439
151,1374
152,325
153,386
154,1139
155,803
156,1003
157,991
158,464
159,3630
160,1496
161,729
162,674
163,4739
164,534
165,175
166,722
167,1564
168,3629
169,1803
170,934
171,199
172,4428
173,972
174,1026
175,2509
176,2511
177,147
178,1557
179,702
180,399
181,214
182,202
183,458
184,1428
185,685
186,3682
187,1249
188,653
189,1261
190,3111
191,334
192,2481
193,615
194,1261
195,594
196,1046
197,482
198,636
199,223
200,584
201,1256
202,451
203,1954
204,312
205,472
206,1087
207,1048
208,159
209,254
210,1796
211,4225
212,3301
213,577
214,945
215,2464
216,1910
217,2614
218,1610
219,621
220,143
221,1428
222,490
223,530
224,167
225,585
226,1015
227,370
228,771
229,446
230,830
231,349
232,315
233,305
234,547
235,428
236,918
237,819
238,1251
239,1244
240,2199
241,1063
242,272
243,470
244,2728
245,239
246,303
247,216
248,715
249,1185
250,1363
251,746
252,209
253,216
254,1225
255,185
256,730
257,108
258,1538
259,1977
260,286
261,890
262,1967
263,1411
264,127
265,217
266,247
267,280
268,477
269,703
270,228
271,469
272,228
273,620
274,271
275,703
276,878
277,539
278,620
279,410
280,300
281,213
282,247
283,213
284,608
285,261
286,369
287,939
288,321
289,1659
290,702
291,209
292,1166
293,848
294,595
295,235
296,185
297,635
298,187
299,319
300,543
301,1079
302,245
303,114
304,287
305,304
306,771
307,491
308,169
309,1472
310,1058
311,264
312,197
313,416
314,530
315,798
316,315
317,303
318,852
319,672
320,311
321,528
322,416
323,267
324,264
325,883
326,1283
327,337
328,814
329,448
330,763
331,517
332,178
333,566
334,367
