,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
".x4y23|-5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,-2",-19.104551970614803,-19.371619410583566,-18.927600798592792,-19.579016189054318,-21.29149959714154,-19.258148737070226,-18.961500063565495,-18.537773731114864,-20.669353218705325
".x4y23|-5,-1",-21.766051384639187,-21.92924156955219,-20.886005589352862,-22.170071513623476,-24.29801333169695,-23.595319972432527,-22.0897038745248,-23.984044392029062,-18.402505049201693
".x4y23|-5,0",-23.977234944238802,-19.693468536756523,-22.88769289612074,-22.771612247030376,-20.598820854381625,-26.173869587365363,-27.28660356447519,-12.349929801219423,-26.024064806143365
".x4y23|-5,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,-1",-23.178346515302525,-23.191669069594326,-21.394662687500595,-23.474523063690985,-22.05081272446775,-16.92737284174612,-23.70439490464324,-24.378291510826486,-21.977764223695694
".x4y23|-4,0",-23.862431448788094,-15.73495947805004,-25.893858978607305,-26.219667018252224,-21.454450591427726,-25.069623198549774,-21.993697829284656,-21.692162861802288,-22.739033340385713
".x4y23|-4,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,-1",-24.213847486507856,-25.746289093084414,-23.124128074277763,-26.570576079323732,-26.00710703141959,-22.317937193467795,-27.34336083769352,-24.20752546053497,-17.898079456862384
".x4y23|-3,0",-25.341826799299966,-19.733832851640948,-24.081367849239694,-25.10579069971202,-21.304772634007684,-25.066789552143348,-28.39143630278813,-23.332593673218497,-25.230824030887906
".x4y23|-3,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-3,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,-1",-25.431126111491377,-24.259496703338915,-23.277446397146445,-24.57203311072458,-24.776766427517828,-21.200021528537654,-19.110425480349036,-20.37587531843702,-10.981284163008668
".x4y23|-2,0",-20.112572964185986,-17.558145971754296,-25.78151793767503,-23.235115062316215,-17.945042645681266,-25.749852450677615,-18.76326827732409,-13.011779698176065,-22.239841510578355
".x4y23|-2,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-2,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,0",-23.028310693756726,-18.396346551939136,-21.354461555048484,-14.795198785999645,-12.353578438169077,-19.214016267758215,-11.006107890294485,-11.786203755208295,-22.04423015898245
".x4y23|-1,1",-19.79765331006244,-22.844018842618667,-22.949828873676417,-12.38838239877509,-23.200110946356546,-22.206473799152707,-18.659179013069696,-22.380537196207417,-23.10044696472983
".x4y23|-1,2",-25.72857313325025,-22.632097625698776,-27.697352513126205,-24.73982686050381,-26.199798187425348,-27.639296001346512,-26.273139752132103,-28.37327214392749,-25.147648023957267
".x4y23|-1,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|-1,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x4y23|0,-5",-22.360162464409026,-23.682726390854718,-18.270680323770677,-14.208889529702585,-15.103393190508424,-13.291944786975321,-14.5778368153621,-13.541637328337329,-13.156339871273014
".x4y23|0,-4",-25.81881589203571,-21.818751290034186,-18.539644773762234,-16.15264797054569,-17.88102889133271,-14.9532956036659,-18.525976701817708,-15.93354626815987,-17.262417017037563
".x4y23|0,-3",-19.753154400749775,-13.771697322388825,-15.888398966056332,-15.831317805328457,-14.373606670151077,-14.482604907066005,-17.078308462254903,-13.940295071120094,-11.063097565353752
".x4y23|0,-2",-12.775752783477538,-11.752853840700439,-15.336356364107315,-11.220499214640192,-12.007568812483832,-11.63333624995996,-11.778357799792298,-11.915488059497644,-14.105529352973488
