,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
".x9y26|-5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,-2",-11.284585681539971,-11.349237918716922,-11.255643527396252,-8.90822315339189,-9.518573326652865,-8.897393274808305,-11.395273441911723,-11.089700358931351,-9.234818661173447
".x9y26|-5,-1",-9.021057044400006,-8.54438736448531,-9.28372469559683,-8.550611161793292,-8.530539137421009,-7.401971790754923,-8.195410427304163,-10.052483615992944,-7.8849946980151575
".x9y26|-5,0",-8.764079562748815,-5.452817282592631,-8.742279194101053,-10.950484255294008,-5.555008303785261,-11.898478038456973,-11.177275877271311,-4.705510188310697,-5.525209470908128
".x9y26|-5,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-2",-9.330297648745479,-11.528837584325224,-5.732605531820146,-5.653278872965218,-9.435418055859133,-5.690903822452745,-6.777958842445858,-9.392714725497198,-8.53165892001206
".x9y26|-4,-1",-11.627390475518776,-11.800656071463925,-9.861946110224041,-11.33177070462099,-10.695231833540754,-9.915332393884615,-12.493728863021879,-11.770058410585083,-11.112222946631693
".x9y26|-4,0",-7.569393307512774,-4.273952181549678,-9.50871639050882,-9.630185491726067,-4.413353969859349,-6.150196290205834,-5.189499623124607,-4.367925558547838,-4.232648837521288
".x9y26|-4,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
