,0
0,777
1,4002
2,1170
3,1128
4,531
5,1444
6,560
7,542
8,231
9,631
10,240
11,4522
12,2848
13,1017
14,2481
15,760
16,624
17,374
18,5090
19,3467
20,4610
21,1448
22,1657
23,347
24,1691
25,1058
26,1525
27,640
28,4883
29,3836
30,2893
31,3035
32,2387
33,2846
34,1773
35,2366
36,1311
37,5416
38,1308
39,1325
40,1028
41,539
42,2245
43,1147
44,438
45,729
46,453
47,1581
48,3703
49,526
50,1083
51,742
52,982
53,3286
54,380
55,1076
56,614
57,973
58,5922
59,914
60,2148
61,3807
62,614
63,520
64,2237
65,501
66,771
67,3054
68,1751
69,378
70,869
71,316
72,146
73,2393
74,1599
75,1602
76,1960
77,232
78,210
79,1565
80,333
81,445
82,765
83,670
84,919
85,336
86,405
87,669
88,1185
89,246
90,290
91,500
92,1696
93,284
94,870
95,1848
96,407
97,769
98,559
99,313
100,262
101,325
102,379
103,914
104,233
105,918
106,775
107,663
108,1005
109,598
110,1520
111,418
112,1605
113,289
114,2439
115,1494
116,2070
117,1194
118,773
119,406
120,288
121,460
122,267
123,293
124,402
125,599
126,442
127,456
128,384
129,796
130,358
131,1792
132,1048
133,1031
134,721
135,770
136,280
137,1424
138,560
139,1254
140,1391
141,443
142,714
143,575
144,1214
145,810
146,609
147,1922
148,1707
149,1398
150,1106
151,793
152,271
153,1007
154,1691
155,2331
156,1794
157,164
158,5186
159,975
160,712
161,1056
162,408
163,3524
164,472
165,976
166,1174
167,1362
168,951
169,1072
170,1833
171,693
172,406
173,967
174,940
175,945
176,897
177,379
178,687
179,2216
180,167
181,255
182,1634
183,2498
184,648
185,906
186,1042
187,3624
188,2949
189,966
190,1614
191,899
192,1376
193,404
194,665
195,1510
196,1037
197,306
198,763
199,3008
200,751
201,292
202,3210
203,367
204,5488
205,1305
206,268
207,471
208,292
209,2412
210,818
211,1301
212,1273
213,452
214,3482
215,1317
216,1881
217,2060
218,1737
219,478
220,2172
221,2294
222,2346
223,494
224,504
225,688
226,1214
227,195
228,548
229,454
230,329
231,455
232,199
233,196
234,298
235,1006
236,290
237,1793
238,515
239,602
240,1189
241,559
242,2751
243,2101
244,490
245,1188
246,766
247,127
248,379
249,98
250,364
251,520
252,316
253,749
254,331
255,950
256,1515
257,111
258,726
259,1098
260,287
261,1203
262,980
263,437
264,293
265,695
266,915
267,476
268,1746
269,320
270,666
271,1288
272,901
273,1109
274,1802
275,330
276,314
277,809
278,1227
279,363
280,763
281,206
282,263
283,1104
284,1341
285,2058
286,218
287,443
288,582
289,1739
290,323
291,1416
292,1086
293,345
294,881
295,443
296,2700
297,650
298,1748
299,671
300,232
301,4029
302,1567
303,846
304,463
305,691
306,1974
307,2381
308,158
309,662
310,620
311,1464
312,491
313,1778
314,858
315,272
316,440
317,280
318,163
319,163
320,166
321,391
322,1036
323,192
324,1872
325,1253
326,226
327,662
328,526
329,255
330,1560
331,139
332,922
333,821
334,295
335,602
336,952
337,419
338,213
339,87
340,1576
341,661
342,900
343,750
344,472
345,213
346,728
347,116
348,784
349,630
350,862
351,875
352,397
353,2496
354,831
355,1558
356,919
357,1560
358,1212
359,4129
360,1342
361,623
362,284
363,844
364,931
365,1258
366,1273
367,994
368,366
369,517
370,346
371,1952
372,3475
373,763
374,1744
375,6305
376,523
377,522
378,1380
379,3218
380,1425
381,5447
382,1408
383,1176
384,994
385,1221
386,847
387,425
388,369
389,156
390,2193
391,332
392,217
393,1239
394,996
395,468
396,1559
397,897
398,194
399,130
400,507
401,1856
402,1383
403,334
404,838
405,507
406,369
407,329
408,2378
409,392
410,1015
411,1607
412,175
413,657
414,120
415,260
416,1933
417,474
418,1179
419,849
420,200
421,1887
422,565
423,1442
424,3388
425,1992
426,2426
427,2065
428,481
429,1970
430,2067
431,390
432,726
433,501
434,355
435,786
436,1392
437,207
438,2354
439,1459
440,201
441,203
442,1018
443,179
444,1060
445,498
446,267
447,1442
448,529
449,554
450,203
451,233
452,1411
453,359
454,113
455,207
456,99
457,504
458,514
459,567
460,226
461,82
462,1501
463,860
464,1530
465,847
466,2968
467,2573
468,502
469,1098
470,472
471,324
472,2473
473,1153
474,70
475,1045
476,1857
477,163
478,941
479,388
480,516
481,513
482,428
483,179
484,524
485,207
486,890
487,1471
488,1941
489,621
490,158
491,1677
492,1090
493,291
494,286
495,1854
496,795
497,175
498,281
499,2447
500,754
501,1029
502,759
503,382
504,5849
505,7037
506,423
507,858
508,3950
509,1195
510,844
511,476
512,4871
513,830
514,7731
515,351
516,3341
517,1244
518,673
519,312
520,865
521,394
522,476
523,846
524,307
525,363
526,570
527,266
528,516
529,1039
530,2739
531,1181
532,376
533,1225
534,294
535,1601
536,2609
537,1056
538,437
539,141
540,2790
541,3487
542,2221
543,561
544,2606
545,1883
546,2363
547,1800
548,422
549,86
550,279
551,2020
552,393
553,325
554,252
555,261
556,2713
557,808
558,539
559,1739
560,598
561,1111
562,262
563,434
564,355
565,555
566,132
567,355
568,156
569,160
570,382
571,733
572,300
573,1669
574,831
575,382
576,671
577,179
578,105
579,127
580,57
581,508
582,281
583,1626
584,156
585,218
586,1096
587,425
588,1593
589,1012
590,275
591,1020
592,195
593,765
594,298
595,2694
596,191
597,1143
598,274
599,3194
600,374
601,3860
602,2010
603,710
604,83
605,409
606,2878
607,315
608,241
609,1032
610,292
611,233
612,275
613,1148
614,802
615,322
616,1174
617,242
618,451
619,92
620,86
621,633
622,790
623,204
624,150
625,223
626,1647
627,664
628,594
629,5265
630,9396
631,1325
632,244
633,327
634,225
635,1047
636,727
637,927
638,310
639,538
640,185
641,258
642,899
643,263
644,810
645,1576
646,263
647,127
648,540
649,99
650,887
651,674
652,696
653,240
654,946
655,338
656,783
657,1466
658,899
659,602
660,93
661,143
662,630
663,111
664,545
665,304
666,146
667,482
668,220
669,468
670,3043
671,800
672,103
673,137
674,424
675,297
676,397
677,232
678,1727
679,111
680,266
681,500
682,423
683,168
684,317
685,998
686,208
687,994
688,618
689,531
690,858
691,156
692,1487
693,485
694,508
695,61
696,1711
697,64
698,66
699,607
700,1701
701,294
702,379
703,1894
704,456
705,1234
706,431
707,418
708,830
709,1253
710,252
711,140
712,740
713,122
714,471
715,470
716,943
717,3091
718,409
719,464
720,185
721,496
722,251
723,1412
724,940
725,403
726,115
727,160
728,548
729,669
730,3637
731,275
732,4325
733,3129
734,856
735,1934
736,1251
737,491
738,572
739,2961
740,3787
741,1276
742,1398
743,579
744,134
745,1607
746,902
747,688
748,1114
749,554
750,339
751,1209
752,117
753,372
754,2458
755,2176
756,757
757,546
758,703
759,1464
760,220
761,1455
762,454
763,1812
764,336
765,553
766,191
767,298
768,362
769,1300
770,2854
771,272
772,255
773,131
774,624
775,1037
776,64
777,230
778,366
779,840
780,217
781,128
782,314
783,160
784,1739
785,569
786,1778
787,250
788,2389
789,5974
790,79
791,1086
792,782
793,212
794,687
795,227
796,353
797,2619
798,1746
799,410
